Geography,year,consumption_beer,consumption_ciders_coolers_and_other_refreshment_beverages,consumption_spirits,consumption_total_alcoholic_beverages,consumption_wines,total_population,population_18_21,population_15_64,population_65plus,share_18_21,share_15_64,share_65plus,adult_population,share_18_21_change,share_65plus_change,mean_income,median_income,income_q1_share,income_q2_share,income_q3_share,income_q4_share,share_under_30k,share_over_100k,income_inequality_ratio,alcohol_cpi,alcohol_offpremise_cpi,alcohol_onpremise_cpi,Alcoholic_beverages_tobacco_products_and_recreational_cannabis,beer_offpremise_cpi,beer_onpremise_cpi,food_cpi,food_restaurants_cpi,food_stores_cpi,spirits_offpremise_cpi,spirits_onpremise_cpi,owned_cpi,cannabis_cpi,rent_cpi,shelter_cpi,utilities_cpi,wine_offpremise_cpi,wine_onpremise_cpi,alcohol_basket_weight,cannabis_use_rate,cannabis_daily_rate,cannabis_occasional_rate,post_legalization,years_since_legalization,cannabis_use_rate_growth,cannabis_daily_rate_growth,log_consumption_total,year_centered,post_covid,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
Alberta,2014,4.2,0.5,3.1,9.3,1.5,7528373,0,0,464049,0.0,0.0,0.061640011726305274,464049,0.0,0.000913494642559444,68900.0,52200.0,25.6,23.1,19.2,41.3,33.6,23.3,1.6132812499999998,131.0,129.9,133.7,140.6,147.3,151.609006928406,132.4,134.4,131.4,113.9,117.23194765204,166.5,78.9,129.2,160.5,173.2,118.1,121.55481139338,1.64,,,,,,,,2.2300144001592104,-1,0,True,False,False,False,False,False,False,False,False,False,False
Alberta,2015,4.2,0.5,3.1,9.4,1.6,7645690,0,0,481867,0.0,0.0,0.06302465833691923,481867,0.0,0.0013846466106139516,70000.0,50600.0,25.3,24.2,19.1,40.2,33.4,22.4,1.5889328063241108,132.5,131.1,135.5,145.6,150.5,155.551106025934,138.2,138.2,138.1,114.2,118.032799389779,172.1,78.9,133.0,163.9,168.2,117.4,121.340198321892,1.75,0.23,0.06,0.17,0.0,0.0,,,2.2407096892759584,0,0,False,True,False,False,False,False,False,False,False,False,False
Alberta,2016,4.0,0.5,3.1,9.3,1.7,7714838,0,0,502101,0.0,0.0,0.06508250724124084,502101,0.0,0.0020578489043216186,63700.0,48600.0,26.3,24.700000000000003,19.4,38.1,35.1,21.1,1.4486692015209126,136.5,135.4,138.9,158.2,158.2,162.289364844904,143.7,142.8,144.2,115.1,118.075258493353,175.6,78.9,133.2,163.1,152.3,121.1,124.23035450517,1.795,0.23,0.06,0.17,0.0,0.0,0.0,0.0,2.2300144001592104,1,0,False,False,True,False,False,False,False,False,False,False,False
Alberta,2017,3.8,0.5,3.0,8.9,1.6,7787398,0,0,524103,0.0,0.0,0.06730142725464912,524103,0.0,0.0022189200134082737,65300.0,50600.0,26.299999999999997,23.2,20.3,38.9,34.8,21.5,1.479087452471483,139.6,138.4,142.2,162.3,164.2,168.70838150289,139.9,147.0,136.2,116.2,119.390462427746,177.5,78.9,130.9,166.3,167.3,122.1,125.452456647399,1.84,0.23,0.06,0.17,0.0,0.0,0.0,0.0,2.186051276738094,2,0,False,False,False,True,False,False,False,False,False,False,False
Alberta,2018,3.7,0.5,2.9,8.8,1.6,7889183,0,0,548657,0.0,0.0,0.06954547764958678,548657,0.0,0.0022440503949376633,65500.0,49400.0,26.599999999999998,24.2,19.6,38.8,34.8,20.5,1.4586466165413534,142.3,141.5,144.3,166.3,169.2,172.548127208481,143.7,151.7,139.6,118.4,120.742897526502,179.3,78.9,130.5,167.1,167.2,123.4,125.84183745583,2.17,0.23,0.06,0.17,1.0,0.0,0.0,0.0,2.174751721484161,3,0,False,False,False,False,True,False,False,False,False,False,False
Alberta,2019,3.5,0.5,3.0,8.6,1.6,8004664,0,0,577725,0.0,0.0,0.07217354782162,577725,0.0,0.0026280701720332172,64000.0,49400.0,25.700000000000003,24.5,20.4,37.9,33.900000000000006,20.5,1.4747081712062255,145.8,141.3,154.8,171.3,167.6,183.612738853503,146.8,156.3,141.9,118.4,129.712101910828,183.4,100.0,133.4,171.7,176.0,125.1,137.052229299363,2.5,0.26,0.07,0.19,1.0,1.0,0.13043478260869557,0.16666666666666674,2.151762203259462,4,0,False,False,False,False,False,True,False,False,False,False,False
Alberta,2020,3.3,0.6,3.0,8.6,1.6,8098998,0,0,606936,0.0,0.0,0.07493964068147689,606936,0.0,0.002766092859856892,60900.0,45900.0,29.5,23.5,18.5,38.1,38.2,19.3,1.2915254237288136,146.4,140.5,157.2,171.2,165.6,185.283416370107,153.6,160.1,150.2,118.4,132.473167259786,185.7,78.9,132.7,174.6,185.4,124.5,139.298220640569,2.83,0.28,0.07,0.21000000000000002,1.0,2.0,0.0769230769230771,0.0,2.151762203259462,5,1,False,False,False,False,False,False,True,False,False,False,False
Alberta,2021,3.2,0.9,3.2,9.0,1.6,8144930,0,0,636049,0.0,0.0,0.07809140164494968,636049,0.0,0.003151760963472791,64500.0,48100.0,28.6,23.0,19.7,37.4,36.4,20.0,1.3076923076923075,146.5,141.3,156.2,170.8,167.9,185.604953998585,154.1,163.6,149.3,118.9,131.437933474876,185.8,67.3,134.7,176.5,192.4,124.0,137.075725406936,2.9,0.29,0.07,0.21999999999999997,1.0,3.0,0.03571428571428559,0.0,2.1972245773362196,6,1,False,False,False,False,False,False,False,True,False,False,False
Alberta,2022,3.0,0.9,3.1,8.6,1.5,8305388,0,0,668205,0.0,0.0,0.08045439899978182,668205,0.0,0.0023629973548321415,61700.0,47200.0,27.0,25.700000000000003,19.5,37.099999999999994,35.9,18.4,1.3740740740740738,146.3,139.8,159.1,174.3,166.1,189.030829756795,162.9,168.1,159.9,117.9,134.17660944206,190.6,64.2,136.0,186.2,238.2,122.3,139.184048640916,2.75,0.3,0.08,0.21999999999999997,1.0,4.0,0.034482758620689724,0.1428571428571428,2.151762203259462,7,1,False,False,False,False,False,False,False,False,True,False,False
Alberta,2023,2.9,0.9,3.0,8.2,1.4,8644796,0,0,705070,0.0,0.0,0.08156005069408231,705070,0.0,0.0011056516943004913,62600.0,47200.0,27.8,24.200000000000003,20.099999999999998,37.2,36.2,19.0,1.3381294964028778,152.9,145.3,169.9,182.6,173.8,203.225189263593,180.0,180.3,179.1,122.4,143.122918100482,209.0,62.4,139.9,194.3,207.7,125.7,146.98162422574,2.65,0.29,0.08,0.20999999999999996,1.0,5.0,-0.033333333333333326,0.0,2.1041341542702074,8,1,False,False,False,False,False,False,False,False,False,True,False
Alberta,2024,2.7,0.9,2.9,7.8,1.3,9075734,0,0,742451,0.0,0.0,0.08180616576025697,742451,0.0,0.0002461150661746542,,,,,,,,,,159.0,150.8,177.3,191.1,178.1,209.397413793103,187.4,189.3,185.7,128.7,151.316379310345,225.3,61.5,154.7,213.8,247.5,131.0,154.020557029178,2.41,,,,,,,,2.0541237336955462,9,1,False,False,False,False,False,False,False,False,False,False,True
British_Columbia,2014,3.5,0.5,2.3,8.4,2.1,8890946,0,0,780496,0.0,0.0,0.08778548424430876,780496,0.0,0.0019744142637392187,51300.0,38900.0,33.3,27.1,18.8,28.6,42.5,12.9,0.8588588588588589,119.0,118.0,121.8,133.1,130.8,135.012203389831,127.2,127.9,126.5,113.6,117.258305084746,108.8,95.6,114.2,113.5,139.6,102.2,105.491186440678,1.475,,,,,,,,2.128231705849268,-1,0,True,False,False,False,False,False,False,False,False,False,False
British_Columbia,2015,3.6,0.5,2.3,8.7,2.2,8983208,0,0,812892,0.0,0.0,0.09049016787766687,812892,0.0,0.0027046836333581015,50800.0,37900.0,32.900000000000006,26.6,18.8,28.8,42.50000000000001,14.4,0.8753799392097263,116.3,113.9,123.2,137.0,122.3,132.285864793679,132.2,131.2,132.3,115.0,124.389815627744,108.0,95.6,115.5,114.0,146.2,98.4,106.434416154522,1.46,0.26,0.06,0.2,0.0,0.0,,,2.163323025660538,0,0,False,True,False,False,False,False,False,False,False,False,False
British_Columbia,2016,3.6,0.6,2.4,8.9,2.2,9166196,0,0,845515,0.0,0.0,0.09224273624522103,845515,0.0,0.0017525683675541637,51200.0,38400.0,32.3,27.799999999999997,18.6,28.1,41.699999999999996,14.2,0.8699690402476782,119.1,117.8,123.3,140.1,128.0,133.97623089983,139.5,134.2,141.7,119.1,124.660696095076,108.6,95.6,116.4,114.4,143.5,100.1,104.773599320883,1.56,0.26,0.06,0.2,0.0,0.0,0.0,0.0,2.186051276738094,1,0,False,False,True,False,False,False,False,False,False,False,False
British_Columbia,2017,3.5,0.6,2.4,8.8,2.3,9315406,0,0,877408,0.0,0.0,0.09418891672569076,877408,0.0,0.0019461804804697252,51100.0,37800.0,32.4,27.0,18.9,30.2,42.4,12.8,0.9320987654320988,121.0,120.4,124.0,143.2,131.6,135.53488372093,136.1,137.7,135.0,123.1,126.78073089701,111.4,95.6,117.8,117.1,149.1,100.7,103.71096345515,1.66,0.26,0.06,0.2,0.0,0.0,0.0,0.0,2.174751721484161,2,0,False,False,False,True,False,False,False,False,False,False,False
British_Columbia,2018,3.5,0.7,2.4,8.9,2.3,9493101,0,0,910405,0.0,0.0,0.09590175012358976,910405,0.0,0.0017128333978990024,52800.0,39000.0,31.3,27.6,19.4,29.4,41.7,14.0,0.939297124600639,124.7,124.7,126.5,147.7,136.6,138.571772253408,139.2,141.9,137.5,124.8,126.601443464314,116.2,95.6,119.4,120.9,150.5,105.7,107.225741780273,2.18333333333333,0.26,0.06,0.2,1.0,0.0,0.0,0.0,2.186051276738094,3,0,False,False,False,False,True,False,False,False,False,False,False
British_Columbia,2019,3.4,0.8,2.4,8.8,2.2,9668185,0,0,945713,0.0,0.0,0.09781701529294277,945713,0.0,0.001915265169353017,52700.0,40200.0,30.9,27.0,20.6,29.9,40.3,13.4,0.9676375404530745,127.8,127.6,130.9,157.2,141.6,145.262068965517,143.4,146.2,141.5,126.7,129.976724137931,119.6,100.0,123.3,124.7,157.3,107.3,110.075,2.70666666666667,0.29,0.07,0.21999999999999997,1.0,1.0,0.1153846153846152,0.16666666666666674,2.174751721484161,4,0,False,False,False,False,False,True,False,False,False,False,False
British_Columbia,2020,3.2,0.9,2.4,8.8,2.3,9779842,0,0,982576,0.0,0.0,0.10046951678769453,982576,0.0,0.002652501494751755,54200.0,41700.0,32.4,24.2,19.6,32.3,40.5,15.1,0.9969135802469136,130.0,129.4,133.7,160.0,145.5,150.335007727975,149.5,151.3,148.3,127.4,131.633539412674,119.9,95.6,128.1,126.4,160.8,108.2,111.795517774343,3.23,0.29,0.08,0.20999999999999996,1.0,2.0,0.0,0.1428571428571428,2.174751721484161,5,1,False,False,False,False,False,False,True,False,False,False,False
